Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2024-07-13,BTC-USD,USD,57908.74,59787.08,57796.44,59231.95,59231.95,-99807378,1323.21,2.28,2272121585664
2024-07-13,DOGE-USD,USD,0.11,0.11,0.11,0.11,0.11,497448463,0.00,0.00,30334775296
2024-07-13,DOT-USD,USD,6.10,6.30,6.08,6.24,6.24,116024543,0.14,2.30,5121885696
2024-07-13,ETH-USD,USD,3134.55,3199.99,3115.08,3177.20,3177.20,-24828646,42.65,1.36,496596582400
2024-07-13,ICP-USD,USD,7.32,8.52,7.32,8.44,8.44,123138598,1.12,15.30,1706506624
2024-07-13,LINK-USD,USD,12.74,13.10,12.72,13.02,13.02,215830414,0.28,2.20,12714944512
2024-07-13,LTC-USD,USD,69.28,70.58,69.25,69.85,69.85,236979172,0.57,0.82,7622200832
2024-07-13,MATIC-USD,USD,0.51,0.54,0.51,0.53,0.53,178105252,0.02,3.92,0
2024-07-13,NEAR-USD,USD,5.18,5.33,5.11,5.21,5.21,159075040,0.03,0.58,2972301568
2024-07-13,SOL-USD,USD,139.53,143.37,138.18,141.92,141.92,1131518484,2.39,1.71,110541570048
2024-07-13,TRX-USD,USD,0.14,0.14,0.14,0.14,0.14,379445047,0.00,0.00,28247525376
2024-07-13,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,11,0.00,,17388
2024-07-13,XRP-USD,USD,0.47,0.56,0.47,0.53,0.53,-1437909416,0.06,12.77,157739499520
2024-07-14,ADA-USD,USD,0.44,0.44,0.43,0.43,0.43,355552828,-0.01,-2.27,23967385600
2024-07-14,ATOM-USD,USD,6.21,6.26,6.11,6.23,6.23,79829257,0.02,0.32,1506169472
2024-07-14,AVAX-USD,USD,25.87,26.64,25.66,26.37,26.37,251852910,0.50,1.93,8681321472
2024-07-14,BNB-USD,USD,532.38,547.36,532.11,544.82,544.82,1486806663,12.44,2.34,156638248960
2024-07-14,BTC-USD,USD,59225.25,61329.53,59225.25,60787.79,60787.79,748579581,1562.54,2.64,2272121585664
2024-07-14,DOGE-USD,USD,0.11,0.12,0.11,0.12,0.12,551768272,0.01,9.09,30334775296
2024-07-14,DOT-USD,USD,6.24,6.35,6.17,6.33,6.33,146384445,0.09,1.44,5121885696
2024-07-14,ETH-USD,USD,3176.74,3266.49,3166.43,3244.08,3244.08,1927775074,67.34,2.12,496596582400
2024-07-14,ICP-USD,USD,8.45,8.98,8.44,8.62,8.62,121037188,0.17,2.01,1706506624
